15/11/2018 06:11:41:590  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:Start | Framework | Start |  |  | 
15/11/2018 06:11:41:875  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:UseridLookup | Framework | UseridLookup |  |  | undefined
15/11/2018 06:11:41:939  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:Greeting | Framework | Greeting |  |  | undefined
15/11/2018 06:11:42:101  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:CheckNewCaller | Framework | CheckNewCaller |  |  | undefined
15/11/2018 06:11:42:166  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:CreateUser | Framework | CreateUser |  |  | undefined
15/11/2018 06:11:42:234  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:createuser-Begin | Framework | createuser-Begin |  |  | undefined
15/11/2018 06:11:42:295  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:createuser-Greeting | Framework | createuser-Greeting |  |  | undefined
15/11/2018 06:11:42:392  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:createuser-VoiceItAPI | Framework | createuser-VoiceItAPI |  |  | undefined
15/11/2018 06:11:44:040  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:createuser-InformFailure | Framework | createuser-InformFailure |  |  | undefined
15/11/2018 06:11:44:141  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:createuser-Default | Framework | createuser-Default |  |  | undefined
15/11/2018 06:11:44:194  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:CheckCreateSuccess | Framework | CheckCreateSuccess |  |  | undefined
15/11/2018 06:11:44:258  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:InformTryAgain | Framework | InformTryAgain |  |  | undefined
15/11/2018 06:11:44:344  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:SayGoodbye | Framework | SayGoodbye |  |  | undefined
15/11/2018 06:11:44:463  INFO - Node Entry | session id:sess1759257 | VoiceItDemo:EndOfApplication | Framework | EndOfApplication |  |  | undefined
15/11/2018 06:11:44:466  INFO - Application Exit | session id:sess1759257 | VoiceItDemo:EndOfApplication | Framework | Application Exiting |  |  | undefined
15/11/2018 06:16:19:970  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:Start | Framework | Start |  |  | 
15/11/2018 06:16:20:223  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:UseridLookup | Framework | UseridLookup |  |  | undefined
15/11/2018 06:16:20:305  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:Greeting | Framework | Greeting |  |  | undefined
15/11/2018 06:16:20:501  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:CheckNewCaller | Framework | CheckNewCaller |  |  | undefined
15/11/2018 06:16:20:573  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:CreateUser | Framework | CreateUser |  |  | undefined
15/11/2018 06:16:20:638  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:createuser-Begin | Framework | createuser-Begin |  |  | undefined
15/11/2018 06:16:20:706  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:createuser-Greeting | Framework | createuser-Greeting |  |  | undefined
15/11/2018 06:16:20:807  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:createuser-VoiceItAPI | Framework | createuser-VoiceItAPI |  |  | undefined
15/11/2018 06:16:22:491  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:createuser-InformFailure | Framework | createuser-InformFailure |  |  | undefined
15/11/2018 06:16:22:591  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:createuser-Default | Framework | createuser-Default |  |  | undefined
15/11/2018 06:16:22:655  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:CheckCreateSuccess | Framework | CheckCreateSuccess |  |  | undefined
15/11/2018 06:16:22:708  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:InformTryAgain | Framework | InformTryAgain |  |  | undefined
15/11/2018 06:16:22:804  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:SayGoodbye | Framework | SayGoodbye |  |  | undefined
15/11/2018 06:16:22:901  INFO - Node Entry | session id:sess2609115 | VoiceItDemo:EndOfApplication | Framework | EndOfApplication |  |  | undefined
15/11/2018 06:16:22:903  INFO - Application Exit | session id:sess2609115 | VoiceItDemo:EndOfApplication | Framework | Application Exiting |  |  | undefined
